<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.09.15	16:00:00	0.93452	0.93568	0.93413	0.93556	3619	0	1
2014.09.15	17:00:00	0.93556	0.93560	0.93441	0.93443	2975	0	1
2014.09.15	18:00:00	0.93444	0.93624	0.93441	0.93600	2241	0	1
2014.09.15	19:00:00	0.93598	0.93598	0.93511	0.93547	1490	0	1
2014.09.15	20:00:00	0.93549	0.93561	0.93514	0.93559	1141	0	1
2014.09.15	21:00:00	0.93559	0.93587	0.93484	0.93520	1330	0	1
2014.09.15	22:00:00	0.93520	0.93555	0.93502	0.93503	1101	0	1
2014.09.15	23:00:00	0.93504	0.93548	0.93498	0.93536	1077	0	1
2014.09.16	00:00:00	0.93535	0.93563	0.93535	0.93553	1420	0	1
2014.09.16	01:00:00	0.93555	0.93568	0.93543	0.93557	1159	0	1
2014.09.16	02:00:00	0.93556	0.93567	0.93445	0.93483	1859	0	1
2014.09.16	03:00:00	0.93483	0.93494	0.93336	0.93396	3033	0	1
2014.09.16	04:00:00	0.93394	0.93447	0.93392	0.93413	1754	0	1
2014.09.16	05:00:00	0.93413	0.93477	0.93413	0.93467	1729	0	1
2014.09.16	06:00:00	0.93469	0.93515	0.93460	0.93499	1602	0	1
2014.09.16	07:00:00	0.93499	0.93543	0.93484	0.93543	2076	0	1
2014.09.16	08:00:00	0.93543	0.93630	0.93522	0.93568	3094	0	1
2014.09.16	09:00:00	0.93568	0.93574	0.93412	0.93413	3697	0	1
2014.09.16	10:00:00	0.93412	0.93441	0.93360	0.93382	4185	0	1
2014.09.16	11:00:00	0.93381	0.93454	0.93327	0.93362	3063	0	1
2014.09.16	12:00:00	0.93365	0.93402	0.93221	0.93376	3760	0	1
2014.09.16	13:00:00	0.93379	0.93418	0.93348	0.93355	2434	0	1
2014.09.16	14:00:00	0.93357	0.93366	0.93278	0.93340	3890	0	1
2014.09.16	15:00:00	0.93344	0.93397	0.93319	0.93383	3547	0	1
2014.09.16	16:00:00	0.93381	0.93447	0.93346	0.93419	3372	0	1
2014.09.16	17:00:00	0.93419	0.93467	0.93124	0.93183	4063	0	1
2014.09.16	18:00:00	0.93181	0.93284	0.93005	0.93233	6271	0	1
2014.09.16	19:00:00	0.93232	0.93294	0.93191	0.93199	2472	0	1
2014.09.16	20:00:00	0.93199	0.93274	0.93168	0.93266	1735	0	1
2014.09.16	21:00:00	0.93266	0.93286	0.93231	0.93273	1651	0	1
2014.09.16	22:00:00	0.93272	0.93290	0.93250	0.93250	1175	0	1
2014.09.16	23:00:00	0.93252	0.93273	0.93223	0.93266	1137	0	1
2014.09.17	00:00:00	0.93265	0.93336	0.93265	0.93335	1183	0	1
2014.09.17	01:00:00	0.93334	0.93336	0.93271	0.93275	1293	0	1
2014.09.17	02:00:00	0.93275	0.93317	0.93275	0.93281	1602	0	1
2014.09.17	03:00:00	0.93283	0.93328	0.93281	0.93310	1292	0	1
2014.09.17	04:00:00	0.93311	0.93318	0.93271	0.93287	1433	0	1
2014.09.17	05:00:00	0.93287	0.93312	0.93271	0.93296	1107	0	1
2014.09.17	06:00:00	0.93296	0.93356	0.93292	0.93354	1005	0	1
2014.09.17	07:00:00	0.93353	0.93435	0.93353	0.93390	1737	0	1
2014.09.17	08:00:00	0.93390	0.93426	0.93307	0.93417	2729	0	1
2014.09.17	09:00:00	0.93414	0.93451	0.93370	0.93398	3076	0	1
2014.09.17	10:00:00	0.93397	0.93475	0.93351	0.93460	3228	0	1
2014.09.17	11:00:00	0.93462	0.93485	0.93410	0.93453	2778	0	1
2014.09.17	12:00:00	0.93454	0.93476	0.93343	0.93403	2537	0	1
2014.09.17	13:00:00	0.93404	0.93438	0.93387	0.93402	2267	0	1
2014.09.17	14:00:00	0.93400	0.93401	0.93230	0.93355	3988	0	1
2014.09.17	15:00:00	0.93355	0.93524	0.93326	0.93415	3777	0	1
2014.09.17	16:00:00	0.93414	0.93488	0.93377	0.93459	4013	0	1
2014.09.17	17:00:00	0.93458	0.93614	0.93449	0.93466	3872	0	1
2014.09.17	18:00:00	0.93466	0.93540	0.93405	0.93539	2196	0	1
2014.09.17	19:00:00	0.93538	0.93538	0.93384	0.93422	2735	0	1
