<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.29	09:00:00	1.25257	1.25299	1.25198	1.25251	6304	5854810000	9
2016.04.29	10:00:00	1.25252	1.25285	1.25129	1.25262	9329	9544270000	9
2016.04.29	11:00:00	1.25262	1.25370	1.25192	1.25290	7018	7204236000	9
2016.04.29	12:00:00	1.25290	1.25309	1.25049	1.25067	5807	5303990000	9
2016.04.29	13:00:00	1.25067	1.25085	1.24994	1.25026	5176	4637268000	9
2016.04.29	14:00:00	1.25023	1.25296	1.25013	1.25202	6400	10657196000	9
2016.04.29	15:00:00	1.25208	1.25408	1.24996	1.25397	8785	9514738000	9
2016.04.29	16:00:00	1.25396	1.25420	1.24980	1.25365	10661	10887351000	9
2016.04.29	17:00:00	1.25365	1.25453	1.25035	1.25242	12122	13073516000	9
2016.04.29	18:00:00	1.25242	1.25558	1.25143	1.25490	12243	11774618000	9
2016.04.29	19:00:00	1.25490	1.25577	1.25398	1.25558	9340	10073188000	9
2016.04.29	20:00:00	1.25558	1.25869	1.25460	1.25850	13130	13636730000	9
2016.04.29	21:00:00	1.25850	1.25864	1.25368	1.25425	10280	9200046000	9
2016.04.29	22:00:00	1.25426	1.25476	1.25305	1.25475	9452	10418590000	9
2016.04.29	23:00:00	1.25474	1.25533	1.25369	1.25495	3752	3403498000	9
2016.05.02	00:00:00	1.25526	1.25561	1.25370	1.25419	422	301900000	0
2016.05.02	01:00:00	1.25423	1.25586	1.25419	1.25518	8866	9646497000	9
2016.05.02	02:00:00	1.25514	1.25534	1.25407	1.25419	5063	5248700000	9
2016.05.02	03:00:00	1.25419	1.25434	1.25317	1.25353	6273	5504100000	9
2016.05.02	04:00:00	1.25353	1.25376	1.25284	1.25315	3609	3421550000	9
2016.05.02	05:00:00	1.25317	1.25354	1.25286	1.25309	2838	2744650000	11
2016.05.02	06:00:00	1.25309	1.25401	1.25305	1.25397	1607	1917600000	9
2016.05.02	07:00:00	1.25397	1.25458	1.25368	1.25398	2744	2795600000	9
2016.05.02	08:00:00	1.25398	1.25462	1.25394	1.25461	2038	3264050000	9
2016.05.02	09:00:00	1.25461	1.25585	1.25425	1.25439	3772	4248308000	9
2016.05.02	10:00:00	1.25443	1.25558	1.25443	1.25520	5102	6227050000	9
2016.05.02	11:00:00	1.25520	1.25575	1.25443	1.25574	3650	4521850000	9
2016.05.02	12:00:00	1.25574	1.25574	1.25416	1.25475	5134	7214650000	9
2016.05.02	13:00:00	1.25475	1.25485	1.25333	1.25429	4991	6553090000	9
2016.05.02	14:00:00	1.25425	1.25425	1.25165	1.25276	5683	5293069000	9
2016.05.02	15:00:00	1.25277	1.25337	1.25128	1.25236	6962	7873428000	9
2016.05.02	16:00:00	1.25233	1.25425	1.25148	1.25263	10977	11018368000	9
2016.05.02	17:00:00	1.25263	1.25621	1.25236	1.25372	14274	16141562000	9
2016.05.02	18:00:00	1.25372	1.25522	1.25190	1.25434	12669	13034380000	9
2016.05.02	19:00:00	1.25434	1.25506	1.25239	1.25254	9850	12414834000	9
2016.05.02	20:00:00	1.25254	1.25381	1.25165	1.25376	9082	10473569000	9
2016.05.02	21:00:00	1.25376	1.25493	1.25241	1.25478	8843	11597845000	9
2016.05.02	22:00:00	1.25477	1.25540	1.25357	1.25359	7575	8922037000	9
2016.05.02	23:00:00	1.25358	1.25359	1.25205	1.25273	2623	2473230000	0
2016.05.03	00:00:00	1.25253	1.25370	1.25232	1.25338	652	492032000	13
2016.05.03	01:00:00	1.25338	1.25340	1.25251	1.25252	11035	10022500000	9
2016.05.03	02:00:00	1.25252	1.25319	1.25250	1.25306	3030	3212550000	10
2016.05.03	03:00:00	1.25308	1.25317	1.25151	1.25177	2823	2449500000	9
2016.05.03	04:00:00	1.25177	1.25198	1.25122	1.25144	5239	5149300000	9
2016.05.03	05:00:00	1.25142	1.25148	1.25047	1.25072	3234	2734200000	9
2016.05.03	06:00:00	1.25072	1.25088	1.25015	1.25087	1787	2319850000	9
2016.05.03	07:00:00	1.25089	1.25281	1.25079	1.25260	9146	9323550000	9
2016.05.03	08:00:00	1.25257	1.25288	1.25124	1.25134	4816	4852450000	9
2016.05.03	09:00:00	1.25131	1.25141	1.24768	1.24799	8094	6895833000	9
2016.05.03	10:00:00	1.24797	1.24883	1.24606	1.24710	9918	10836969000	9
2016.05.03	11:00:00	1.24710	1.25177	1.24701	1.25137	10739	11682689000	9
2016.05.03	12:00:00	1.25139	1.25250	1.25113	1.25221	8651	9514140000	9
2016.05.03	13:00:00	1.25223	1.25741	1.25214	1.25682	8241	9717680000	9
2016.05.03	14:00:00	1.25683	1.25886	1.25550	1.25821	9107	9307345000	9
2016.05.03	15:00:00	1.25820	1.26187	1.25787	1.25961	11166	11414855000	9
2016.05.03	16:00:00	1.25962	1.26449	1.25930	1.26398	12868	14590117000	9
2016.05.03	17:00:00	1.26396	1.26955	1.26302	1.26923	14242	14901770000	9
2016.05.03	18:00:00	1.26921	1.27001	1.26709	1.26852	11791	14084490000	9
2016.05.03	19:00:00	1.26853	1.27008	1.26778	1.26888	7768	9416921000	9
2016.05.03	20:00:00	1.26888	1.26996	1.26711	1.26988	7581	9861182000	0
2016.05.03	21:00:00	1.26988	1.27302	1.26982	1.27225	8200	10112959000	9
2016.05.03	22:00:00	1.27226	1.27310	1.27124	1.27135	6723	8679394000	9
2016.05.03	23:00:00	1.27134	1.27241	1.27032	1.27236	4543	4747545000	9
2016.05.04	00:00:00	1.27203	1.27301	1.27142	1.27200	1287	1324350000	0
2016.05.04	01:00:00	1.27201	1.27230	1.27052	1.27093	4717	3857600000	9
2016.05.04	02:00:00	1.27090	1.27090	1.26995	1.27001	1959	1846950000	9
2016.05.04	03:00:00	1.27001	1.27099	1.26982	1.27030	2368	2394795000	9
2016.05.04	04:00:00	1.27032	1.27397	1.26967	1.27331	5332	5002726000	9
2016.05.04	05:00:00	1.27328	1.27487	1.27316	1.27342	5457	5233780000	9
2016.05.04	06:00:00	1.27340	1.27363	1.27212	1.27258	3334	3069598000	9
2016.05.04	07:00:00	1.27258	1.27258	1.27137	1.27151	2286	2292400000	9
2016.05.04	08:00:00	1.27152	1.27237	1.27115	1.27232	2859	3400400000	9
2016.05.04	09:00:00	1.27231	1.27310	1.27115	1.27242	7381	7802750000	9
2016.05.04	10:00:00	1.27241	1.27247	1.26985	1.27166	9045	9570954000	9
2016.05.04	11:00:00	1.27165	1.27418	1.27164	1.27394	9174	9942330000	9
2016.05.04	12:00:00	1.27394	1.27767	1.27244	1.27673	8504	8342065000	9
2016.05.04	13:00:00	1.27675	1.27777	1.27635	1.27681	6748	7047454000	9
2016.05.04	14:00:00	1.27681	1.27693	1.27389	1.27536	6974	7341495000	9
2016.05.04	15:00:00	1.27537	1.28165	1.27340	1.28105	13577	17410571000	9
2016.05.04	16:00:00	1.28105	1.28242	1.27962	1.28199	12939	15488433000	9
2016.05.04	17:00:00	1.28197	1.28754	1.28086	1.28612	16043	16174847000	9
2016.05.04	18:00:00	1.28609	1.28848	1.28436	1.28843	12731	13661811000	9
2016.05.04	19:00:00	1.28841	1.28852	1.28537	1.28732	8772	9403275000	9
2016.05.04	20:00:00	1.28731	1.28853	1.28619	1.28702	7758	8593830000	9
2016.05.04	21:00:00	1.28703	1.28770	1.28546	1.28635	8502	8531010000	9
2016.05.04	22:00:00	1.28635	1.28700	1.28616	1.28687	6562	7252950000	9
2016.05.04	23:00:00	1.28687	1.28827	1.28669	1.28669	5826	5285089000	9
2016.05.05	00:00:00	1.28690	1.28710	1.28538	1.28681	1059	737550000	0
2016.05.05	01:00:00	1.28681	1.28693	1.28596	1.28614	4336	3375450000	9
2016.05.05	02:00:00	1.28614	1.28640	1.28592	1.28629	1036	784900000	9
2016.05.05	03:00:00	1.28629	1.28688	1.28612	1.28642	1724	1151550000	9
2016.05.05	04:00:00	1.28646	1.28649	1.28363	1.28439	4105	4171150000	9
2016.05.05	05:00:00	1.28439	1.28483	1.28368	1.28460	2831	3115600000	9
2016.05.05	06:00:00	1.28459	1.28465	1.28318	1.28330	2571	2769850000	9
2016.05.05	07:00:00	1.28330	1.28390	1.28301	1.28323	2746	3495099000	9
2016.05.05	08:00:00	1.28323	1.28323	1.28220	1.28286	3422	3951700000	9
2016.05.05	09:00:00	1.28286	1.28292	1.28133	1.28172	4982	5086080000	9
2016.05.05	10:00:00	1.28173	1.28514	1.28173	1.28452	8109	8597630000	9
2016.05.05	11:00:00	1.28451	1.28474	1.28195	1.28196	6648	6883775000	9
2016.05.05	12:00:00	1.28196	1.28451	1.28173	1.28383	5628	6577090000	9
2016.05.05	13:00:00	1.28385	1.28685	1.28335	1.28447	8258	9727849000	9
2016.05.05	14:00:00	1.28446	1.28512	1.28260	1.28354	6766	8140546000	9
2016.05.05	15:00:00	1.28356	1.28356	1.27887	1.27887	10241	13133111000	9
2016.05.05	16:00:00	1.27886	1.28455	1.27851	1.28452	12496	13660595000	9
2016.05.05	17:00:00	1.28466	1.28641	1.28308	1.28561	13649	14131557000	9
2016.05.05	18:00:00	1.28560	1.28619	1.28419	1.28544	10813	12372389000	9
2016.05.05	19:00:00	1.28543	1.28570	1.28379	1.28419	7573	8364797000	9
2016.05.05	20:00:00	1.28419	1.28747	1.28418	1.28662	10113	11926450000	9
2016.05.05	21:00:00	1.28661	1.28708	1.28517	1.28605	9406	11978800000	9
2016.05.05	22:00:00	1.28602	1.28725	1.28566	1.28669	7781	8934600000	9
2016.05.05	23:00:00	1.28670	1.28674	1.28525	1.28528	5236	4218040000	9
2016.05.06	00:00:00	1.28515	1.28701	1.28504	1.28631	1470	1461900000	0
2016.05.06	01:00:00	1.28634	1.28643	1.28533	1.28569	2925	3156250000	9
2016.05.06	02:00:00	1.28570	1.28586	1.28517	1.28534	2203	2647650000	11
2016.05.06	03:00:00	1.28531	1.28776	1.28531	1.28724	2828	3536250000	9
2016.05.06	04:00:00	1.28722	1.28800	1.28611	1.28766	5731	5601948000	9
2016.05.06	05:00:00	1.28766	1.28774	1.28665	1.28739	3773	4405000000	9
2016.05.06	06:00:00	1.28738	1.28795	1.28696	1.28781	4147	4992800000	9
2016.05.06	07:00:00	1.28779	1.28806	1.28713	1.28752	2458	2514199000	9
2016.05.06	08:00:00	1.28755	1.28836	1.28745	1.28833	3961	5450950000	9
2016.05.06	09:00:00	1.28829	1.28907	1.28717	1.28893	7056	7291456000	9
2016.05.06	10:00:00	1.28897	1.28991	1.28449	1.28508	8459	10634690000	9
2016.05.06	11:00:00	1.28508	1.28605	1.28396	1.28402	7072	9697890000	9
2016.05.06	12:00:00	1.28402	1.28502	1.28352	1.28488	6390	8064310000	9
2016.05.06	13:00:00	1.28488	1.28757	1.28481	1.28740	6087	7384600000	9
2016.05.06	14:00:00	1.28738	1.28866	1.28647	1.28711	5901	6424326000	9
2016.05.06	15:00:00	1.28711	1.29515	1.28382	1.29185	13972	15070618000	9
2016.05.06	16:00:00	1.29193	1.29245	1.28727	1.28929	14649	17900386000	9
2016.05.06	17:00:00	1.28929	1.29482	1.28880	1.29234	13879	14185087000	9
2016.05.06	18:00:00	1.29233	1.29331	1.28980	1.29211	9824	10396737000	9
2016.05.06	19:00:00	1.29210	1.29311	1.29097	1.29251	6672	7947750000	9
2016.05.06	20:00:00	1.29251	1.29414	1.29171	1.29264	7309	8612974000	9
2016.05.06	21:00:00	1.29263	1.29424	1.29229	1.29326	7868	9399597000	9
2016.05.06	22:00:00	1.29327	1.29327	1.29137	1.29177	7653	9524550000	9
2016.05.06	23:00:00	1.29177	1.29177	1.28980	1.28986	4142	4222650000	9
2016.05.09	00:00:00	1.29436	1.29485	1.29250	1.29293	889	610830000	9
2016.05.09	01:00:00	1.29293	1.29293	1.29168	1.29230	6196	9681000000	9
2016.05.09	02:00:00	1.29230	1.29362	1.29211	1.29315	4800	5578000000	10
